match_id,match_name,event_hour,topic_label,topic_post_count
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 07:00:00,requestabet / available / hi / gt,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 07:00:00,supporting / support / team / ghana,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 07:00:00,the / watch / coverage / and,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 07:00:00,worldcup2022 / the / cup / world,9
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,autre,14
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,crypto / eth / our / to,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,freeman / morgan / voice / morganfreeman,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,jungkook / dreamersbyjungkook / jungkookatfifaworldcup / dreamers,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,opening / ceremony / worldcup2022 / the,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,palestinian / raisepalestineflag / palestine / flag,6
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,qatar / the / worldcup2022 / to,10
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,requestabet / available / hi / gt,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,supporting / support / team / ghana,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,the / watch / coverage / and,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 08:00:00,worldcup2022 / the / cup / world,12
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,autre,22
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,crypto / eth / our / to,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,ecuador / qatar / worldcup2022 / ecuadorvsqatar,2
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,fifa / ceremony / 2022 / opening,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,palestinian / raisepalestineflag / palestine / flag,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,qatar / paid / the / worldcup2022,1
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,qatar / the / worldcup2022 / to,28
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,requestabet / available / hi / gt,4
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,the / watch / coverage / and,3
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 09:00:00,worldcup2022 / the / cup / world,26
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,autre,20
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 10:00:00,crypto / eth / our / to,4
