match_id,match_name,event_hour,sentiment_label,post_count,avg_sentiment_score,total_posts,sentiment_index,dominant_sentiment
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,neutre,723,0.00024979253112033194,1537,0.30448926480156147,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,négatif,173,0.4497739884393064,1537,0.30448926480156147,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 14:00:00,positif,641,0.5667647425897036,1537,0.30448926480156147,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,neutre,1395,0.0005425806451612904,3891,0.3166281161655102,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,négatif,632,0.43741091772151897,3891,0.3166281161655102,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 15:00:00,positif,1864,0.564375,3891,0.3166281161655102,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,neutre,3327,0.0005552449654343252,7899,0.07165463982782631,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,négatif,2003,0.4460404393409885,7899,0.07165463982782631,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 16:00:00,positif,2569,0.48593094589334374,7899,0.07165463982782631,neutre
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,neutre,278,0.0007899280575539568,833,0.22929171668667467,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,négatif,182,0.4427467032967033,833,0.22929171668667467,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 17:00:00,positif,373,0.5595646112600536,833,0.22929171668667467,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,neutre,262,0.0009587786259541984,904,0.2721238938053097,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,négatif,198,0.4326560606060606,904,0.2721238938053097,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 18:00:00,positif,444,0.5370412162162163,904,0.2721238938053097,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,neutre,154,0.00026623376623376627,505,0.3108910891089109,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,négatif,97,0.4415505154639175,505,0.3108910891089109,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 19:00:00,positif,254,0.5581582677165354,505,0.3108910891089109,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,neutre,80,0.00129,260,0.33076923076923076,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,négatif,47,0.47369148936170213,260,0.33076923076923076,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 20:00:00,positif,133,0.6105345864661654,260,0.33076923076923076,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,neutre,80,0.000645,211,0.22274881516587677,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,négatif,42,0.5379952380952381,211,0.22274881516587677,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 21:00:00,positif,89,0.5545314606741573,211,0.22274881516587677,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,neutre,122,0.0010491803278688525,406,0.21674876847290642,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,négatif,98,0.5064479591836735,406,0.21674876847290642,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 22:00:00,positif,186,0.5517575268817204,406,0.21674876847290642,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 23:00:00,neutre,80,0.00177375,254,0.2204724409448819,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 23:00:00,négatif,59,0.487264406779661,254,0.2204724409448819,positif
fifa_world_cup_2022,FIFA World Cup 2022,2022-11-20 23:00:00,positif,115,0.5475539130434782,254,0.2204724409448819,positif
